id,name,segment,email,credit_limit,payment_terms_days,historical_delay_avg,risk_band
CUST-0001,"Rodriguez, Figueroa and Sanchez",smb,ar@doyle.net,27000.0,30,1.2,low
CUST-0002,Garza Inc,enterprise,ar@davis.net,808000.0,60,0.4,low
CUST-0003,"Johnson, Gonzalez and Santos",midmarket,ar@barnes.com,115000.0,45,1.2,low
CUST-0004,Wolfe LLC,smb,ar@moore-bernard.com,55000.0,30,14.7,medium
CUST-0005,Davis Inc,smb,ar@abbott-munoz.com,47000.0,30,1.4,low
CUST-0006,"Stevens, Martinez and Nielsen",smb,ar@arnold.org,20000.0,30,15.5,medium
CUST-0007,Ray-Bush,midmarket,ar@stanley.com,146000.0,45,0.5,low
CUST-0008,Delacruz Group,midmarket,ar@chavez-flowers.com,148000.0,45,3.0,low
CUST-0009,Kelly-Santiago,smb,ar@zuniga.com,44000.0,30,6.9,medium
CUST-0010,"Daniel, Martin and Gray",smb,ar@watts.com,28000.0,30,4.1,low
CUST-0011,Underwood LLC,smb,ar@adams-clark.org,46000.0,30,26.7,high
CUST-0012,"Edwards, Rios and Foster",enterprise,ar@ellis.net,546000.0,60,19.8,medium
CUST-0013,"Baker, Richards and Hurst",smb,ar@cox-osborn.com,34000.0,30,29.7,high
CUST-0014,"Snyder, Campos and Callahan",smb,ar@burton.biz,33000.0,30,1.8,low
CUST-0015,"Brown, James and Ferrell",smb,ar@king.com,53000.0,30,14.7,medium
CUST-0016,"Dyer, Potter and Mack",smb,ar@rodriguez-graham.info,56000.0,30,1.2,low
CUST-0017,Mckay Ltd,midmarket,ar@stanton-gill.net,223000.0,45,3.4,low
CUST-0018,Harrell LLC,midmarket,ar@romero.com,74000.0,45,1.1,low
CUST-0019,"Ashley, Nielsen and Sellers",enterprise,ar@nguyen.com,524000.0,60,0.3,low
CUST-0020,Brown PLC,smb,ar@miller.com,55000.0,30,9.7,medium
CUST-0021,"Cannon, Anderson and Alvarez",smb,ar@martin.com,51000.0,30,2.3,low
CUST-0022,"Campos, Vaughn and Marquez",midmarket,ar@carney-santos.info,203000.0,45,2.7,low
CUST-0023,"Hayes, Wright and Brown",smb,ar@chapman.org,47000.0,30,2.0,low
CUST-0024,Smith Ltd,midmarket,ar@brown.com,190000.0,45,37.3,high
CUST-0025,Palmer LLC,smb,ar@washington.org,19000.0,30,42.0,high
CUST-0026,"Kennedy, Mueller and Aguirre",smb,ar@davis.biz,14000.0,30,1.9,low
CUST-0027,Henderson-Owens,smb,ar@brown.com,26000.0,30,4.9,low
CUST-0028,Chandler-Mcbride,smb,ar@wright.net,56000.0,30,0.6,low
CUST-0029,Taylor-White,smb,ar@wright-leblanc.info,59000.0,30,14.6,medium
CUST-0030,"Garcia, Pearson and Fernandez",enterprise,ar@novak.com,714000.0,60,0.0,low
CUST-0031,Tucker-Lewis,smb,ar@barrera-martin.com,42000.0,30,16.4,medium
CUST-0032,Baker-Bowers,smb,ar@mitchell-horton.net,50000.0,30,1.5,low
CUST-0033,"Higgins, Moore and Phillips",smb,ar@riley.com,19000.0,30,10.6,medium
CUST-0034,"Edwards, Williams and Woods",midmarket,ar@moore.com,195000.0,45,52.1,high
CUST-0035,Larson Ltd,smb,ar@powell.com,17000.0,30,4.6,low
CUST-0036,"Wheeler, Harvey and Barnes",smb,ar@cunningham.com,29000.0,30,8.6,medium
CUST-0037,Baker and Sons,midmarket,ar@brewer.com,80000.0,45,6.3,medium
CUST-0038,Ellis PLC,midmarket,ar@jones.net,196000.0,45,3.8,low
CUST-0039,Anderson-Bailey,enterprise,ar@suarez.com,812000.0,60,0.8,low
CUST-0040,Kim PLC,smb,ar@turner.net,23000.0,30,18.9,medium
